cutoff_days,roi_beta,roi_or,elasticity,norm_elast
255,0.031077150147145436,1.0315650862147807,0.0059660541525236276,0.0001423960980826624
256,0.010664248339407083,1.010721314109843,0.0020459913036958693,4.883314346620783e-05
257,-0.05361591175891451,0.947796073926462,-0.010206533340378895,-0.00024360665952148362
258,0.10063601632622521,1.1058740484002936,0.019004283712814592,0.0004535888844414864
259,0.021557798146184737,1.021791846305206,0.004043969744414239,9.652032945851619e-05
260,0.06054865322367767,1.0624192864360822,0.01127804930972559,0.0002691813005098981
261,0.0629838014679667,1.0650095874996606,0.01169391213833071,0.0002791069972295531
262,0.03937002882886925,1.0401552998966774,0.007305442478027801,0.00017436424092772684
263,-0.15376043956290425,0.8574774140725644,-0.028516112203581787,-0.0006806145245194967
264,0.003156533713826193,1.0031615208123037,0.0005820475083811533,1.389214579240005e-05
265,0.04708757820601813,1.0482138057445338,0.008626107440415849,0.00020588549982193183
266,0.023151145767224334,1.0234212136422853,0.004211731464349067,0.00010052441888104532
267,-0.041742595104177035,0.9591166301172384,-0.007544522510948565,-0.00018007053573281014
268,-0.04065251115394083,0.9601627178202542,-0.007299352106859643,-0.00017421887766617245
269,-0.05155070852910796,0.949755488037289,-0.009251425944175624,-0.00022081042552959
270,-0.07735968477664795,0.9255568850067583,-0.013868448563029568,-0.00033100821939408226
